iter	MAE
0	0.7402113933
1	0.7244880373
2	0.7092714871
3	0.6942881172
4	0.6798797578
5	0.6659536214
6	0.6525436271
7	0.6397273354
8	0.6269600367
9	0.615616478
10	0.6047327297
11	0.5931698306
12	0.5816161964
13	0.5711605093
14	0.5616191843
15	0.5521826086
16	0.5427301564
17	0.533705333
18	0.5244871435
19	0.5160032484
20	0.5079805042
21	0.5012357215
22	0.493374059
23	0.4857264696
24	0.4787205056
25	0.4716632731
26	0.4648099259
27	0.4579973105
28	0.4522816948
29	0.4460567764
30	0.4402378943
31	0.4345247113
32	0.4293413878
33	0.424358959
34	0.4193564077
35	0.4145148194
36	0.4097168658
37	0.4052323656
38	0.40123531
39	0.3972957368
40	0.3930520824
41	0.3888936273
42	0.385114757
43	0.381225676
44	0.3775952755
45	0.3741776449
46	0.3707443208
47	0.3675577974
48	0.3644387767
49	0.3613631849
50	0.358586755
51	0.3557157456
52	0.3528587203
53	0.3500690804
54	0.3476687039
55	0.3452704957
56	0.3428240669
57	0.3403852565
58	0.3381211664
59	0.3359373532
60	0.3338639394
61	0.3318016395
62	0.3298020484
63	0.3278071112
64	0.3260010259
65	0.3240428515
66	0.3223489745
67	0.3207144468
68	0.3189903118
69	0.3173170468
70	0.3157447815
71	0.3141005263
72	0.3129395541
73	0.3112703163
74	0.3098171773
75	0.30859278
76	0.3073229825
77	0.3061082009
78	0.3048083012
79	0.3035998644
80	0.3023672462
81	0.3014190002
82	0.3002362097
83	0.29905539
84	0.2978934228
85	0.2968413534
86	0.2958759185
87	0.2948502336
88	0.2938478572
89	0.2929585245
90	0.2919276099
91	0.2910269604
92	0.2901110466
93	0.2892265836
94	0.2884004146
95	0.2874348656
96	0.2866472814
97	0.2859132935
98	0.2851283725
99	0.284439781
100	0.283747574
101	0.2830851838
102	0.2822951931
103	0.2816427038
104	0.2809446134
105	0.2802450122
106	0.2796583019
107	0.2789736753
108	0.2784249295
109	0.2777417679
110	0.2771476999
111	0.2765594521
112	0.275986874
113	0.2753307697
114	0.2748032976
115	0.2742699162
116	0.2737810464
117	0.2732987058
118	0.2728202363
119	0.2724036626
120	0.2720155275
121	0.2716612425
122	0.2711415865
123	0.270734737
124	0.2703224595
125	0.269923273
126	0.2694821958
127	0.2692191046
128	0.2688345973
129	0.2684022081
130	0.2680143201
131	0.2676324376
132	0.2672248216
133	0.2669290738
134	0.2665671437
135	0.2662155788
136	0.2659228439
137	0.2655426905
138	0.2652067949
139	0.2649321334
140	0.2645550623
141	0.2642291288
142	0.2638691567
143	0.2635740813
144	0.2633069693
145	0.2630521768
146	0.2627537367
147	0.262491305
148	0.2622118604
149	0.2619472887
150	0.2617035035
151	0.2613778622
152	0.2611744508
153	0.2608525263
154	0.2606371375
155	0.2603427522
156	0.2600813097
157	0.2598001665
158	0.2595787043
159	0.2593889752
160	0.2592847019
161	0.2590163759
162	0.2587578217
163	0.2585498967
164	0.2583603407
165	0.258157661
166	0.2579395839
167	0.2577115471
168	0.2575218526
169	0.2573521158
170	0.25720719
171	0.2569665522
172	0.2567994232
173	0.256590917
174	0.2564906289
175	0.2563099721
176	0.2561178847
177	0.2559346508
178	0.2557189269
179	0.2555196659
180	0.2552984697
181	0.2551158479
182	0.254916098
183	0.2547322979
184	0.2546123143
185	0.254436693
186	0.2542310808
