iter	Passed	Remaining
0	21	64013
1	48	73184
2	77	77259
3	104	78405
4	131	78565
5	157	78495
6	183	78501
7	210	78850
8	242	80571
9	269	80568
10	295	80367
11	322	80278
12	348	79998
13	374	79807
14	400	79694
15	427	79686
16	456	80035
17	482	79922
18	509	79907
19	527	78652
20	553	78548
21	579	78474
22	606	78566
23	633	78579
24	662	78887
25	688	78803
26	714	78717
27	740	78603
28	765	78462
29	791	78364
30	817	78268
31	842	78146
32	872	78427
33	898	78340
34	925	78373
35	952	78390
36	979	78403
37	1007	78522
38	1037	78762
39	1083	80189
40	1119	80830
41	1163	81962
42	1203	82743
43	1243	83510
44	1294	84984
45	1334	85674
46	1373	86322
47	1414	87009
48	1454	87610
49	1484	87595
50	1526	88267
51	1564	88722
52	1604	89207
53	1647	89876
54	1685	90244
55	1724	90648
56	1762	91020
57	1802	91453
58	1854	92445
59	1892	92741
60	1931	93081
61	1969	93329
62	2007	93600
63	2056	94337
64	2093	94530
65	2130	94716
66	2171	95045
67	2210	95300
68	2249	95541
69	2293	96006
70	2332	96214
71	2371	96437
72	2415	96832
73	2453	97025
74	2491	97158
75	2530	97370
76	2570	97562
77	2612	97877
78	2650	97995
79	2689	98158
80	2728	98322
81	2756	98089
82	2797	98322
83	2843	98695
84	2879	98759
85	2918	98902
86	2956	98999
87	2995	99114
88	3032	99192
89	3080	99613
90	3117	99646
91	3145	99427
92	3185	99557
93	3225	99714
94	3263	99804
95	3302	99899
96	3341	99997
97	3378	100047
98	3417	100154
99	3455	100208
100	3494	100290
101	3534	100412
102	3572	100468
103	3610	100527
104	3651	100685
105	3689	100724
106	3726	100756
107	3763	100790
108	3802	100856
109	3841	100922
110	3890	101263
111	3927	101263
112	3965	101315
113	4002	101337
114	4041	101396
115	4088	101641
116	4123	101618
117	4161	101641
118	4199	101673
119	4237	101702
120	4290	102074
121	4328	102120
122	4368	102173
123	4404	102165
124	4442	102188
125	4493	102494
126	4520	102268
127	4560	102318
128	4600	102388
129	4634	102316
130	4689	102698
131	4730	102782
132	4771	102849
133	4813	102960
134	4860	103150
135	4904	103274
136	4947	103397
137	4984	103380
138	5020	103345
139	5057	103321
140	5094	103309
141	5134	103346
142	5162	103149
143	5208	103301
144	5248	103337
145	5285	103327
146	5324	103336
147	5361	103315
148	5406	103440
149	5443	103425
150	5480	103396
151	5516	103354
152	5553	103331
153	5592	103354
154	5637	103481
155	5676	103491
156	5716	103507
157	5755	103530
158	5794	103527
159	5831	103514
160	5869	103497
161	5909	103520
162	5946	103498
163	5982	103456
164	6032	103657
165	6069	103628
166	6105	103579
167	6144	103578
168	6182	103570
169	6219	103541
170	6257	103520
171	6294	103494
172	6333	103499
173	6375	103545
174	6413	103529
175	6453	103542
176	6480	103354
177	6519	103356
178	6558	103363
179	6602	103442
180	6640	103424
181	6675	103365
182	6713	103350
183	6752	103338
184	6792	103355
185	6842	103517
186	6870	103356
187	6911	103384
188	6950	103373
189	6990	103391
190	7030	103402
191	7073	103444
192	7111	103428
193	7148	103389
194	7187	103383
195	7226	103388
196	7264	103355
197	7304	103368
198	7344	103373
199	7386	103404
200	7428	103445
201	7471	103493
202	7511	103501
203	7550	103485
204	7589	103482
205	7628	103461
206	7672	103520
207	7709	103485
208	7746	103441
209	7782	103398
210	7819	103361
211	7866	103454
212	7903	103418
213	7941	103390
214	7981	103388
215	8021	103391
216	8060	103376
217	8103	103416
218	8141	103382
219	8181	103382
220	8222	103398
221	8259	103353
222	8301	103373
223	8341	103376
224	8381	103372
225	8420	103361
226	8460	103353
227	8502	103370
228	8541	103355
229	8568	103198
230	8608	103187
231	8646	103166
232	8686	103159
233	8725	103143
234	8764	103125
235	8806	103136
236	8845	103121
237	8889	103158
238	8927	103128
239	8964	103094
240	9002	103056
241	9041	103042
242	9094	103178
243	9129	103114
244	9165	103060
245	9203	103037
246	9243	103028
247	9283	103019
248	9326	103042
249	9363	102999
250	9401	102972
251	9440	102943
252	9479	102926
253	9508	102794
254	9547	102780
255	9591	102805
256	9630	102785
257	9670	102778
258	9710	102764
259	9751	102762
260	9793	102779
261	9831	102739
262	9869	102709
263	9907	102675
264	9945	102647
265	9988	102665
